Wvlgth,Direct_normal_irradiance,Global_horizn_irradiance,Global_tilted_irradiance,Beam_normal_+circumsolar
.3850E+03,.5173E+00,.5925E+00,.5925E+00,.5173E+00
.3855E+03,.4829E+00,.5518E+00,.5518E+00,.4829E+00
.3860E+03,.4146E+00,.4726E+00,.4726E+00,.4146E+00
.3865E+03,.5458E+00,.6207E+00,.6207E+00,.5458E+00
.3870E+03,.4546E+00,.5158E+00,.5158E+00,.4546E+00
.3875E+03,.5118E+00,.5793E+00,.5793E+00,.5118E+00
.3880E+03,.4736E+00,.5349E+00,.5349E+00,.4736E+00
.3885E+03,.4691E+00,.5287E+00,.5287E+00,.4691E+00
.3890E+03,.5076E+00,.5706E+00,.5706E+00,.5076E+00
.3895E+03,.6161E+00,.6911E+00,.6911E+00,.6161E+00
.3900E+03,.6196E+00,.6935E+00,.6935E+00,.6196E+00
.3905E+03,.5714E+00,.6381E+00,.6381E+00,.5714E+00
.3910E+03,.6741E+00,.7511E+00,.7511E+00,.6741E+00
.3915E+03,.6890E+00,.7660E+00,.7660E+00,.6890E+00
.3920E+03,.5816E+00,.6451E+00,.6451E+00,.5816E+00
.3925E+03,.5217E+00,.5775E+00,.5775E+00,.5217E+00
.3930E+03,.2909E+00,.3213E+00,.3213E+00,.2909E+00
.3935E+03,.2118E+00,.2335E+00,.2335E+00,.2118E+00
.3940E+03,.4319E+00,.4751E+00,.4751E+00,.4319E+00
.3945E+03,.5502E+00,.6039E+00,.6039E+00,.5502E+00
.3950E+03,.6727E+00,.7368E+00,.7368E+00,.6727E+00
.3955E+03,.6848E+00,.7483E+00,.7483E+00,.6848E+00
.3960E+03,.5949E+00,.6488E+00,.6488E+00,.5949E+00
.3965E+03,.3484E+00,.3792E+00,.3792E+00,.3484E+00
.3970E+03,.2620E+00,.2845E+00,.2845E+00,.2620E+00
.3975E+03,.5338E+00,.5786E+00,.5786E+00,.5338E+00
.3980E+03,.7491E+00,.8102E+00,.8102E+00,.7491E+00
.3985E+03,.7757E+00,.8373E+00,.8373E+00,.7757E+00
.3990E+03,.8413E+00,.9064E+00,.9064E+00,.8413E+00
.3995E+03,.8401E+00,.9033E+00,.9033E+00,.8401E+00
.4000E+03,.8741E+00,.9380E+00,.9380E+00,.8741E+00
