Wvlgth,Direct_normal_irradiance,Global_horizn_irradiance,Global_tilted_irradiance,Beam_normal_+circumsolar
.3900E+03,.6188E+00,.6926E+00,.6926E+00,.6188E+00
.3905E+03,.5707E+00,.6374E+00,.6374E+00,.5707E+00
.3910E+03,.6732E+00,.7502E+00,.7502E+00,.6732E+00
.3915E+03,.6881E+00,.7651E+00,.7651E+00,.6881E+00
.3920E+03,.5808E+00,.6444E+00,.6444E+00,.5808E+00
.3925E+03,.5211E+00,.5768E+00,.5768E+00,.5211E+00
.3930E+03,.2905E+00,.3209E+00,.3209E+00,.2905E+00
.3935E+03,.2116E+00,.2332E+00,.2332E+00,.2116E+00
.3940E+03,.4314E+00,.4745E+00,.4745E+00,.4314E+00
.3945E+03,.5495E+00,.6032E+00,.6032E+00,.5495E+00
.3950E+03,.6719E+00,.7359E+00,.7359E+00,.6719E+00
.3955E+03,.6839E+00,.7475E+00,.7475E+00,.6839E+00
.3960E+03,.5941E+00,.6480E+00,.6480E+00,.5941E+00
.3965E+03,.3480E+00,.3788E+00,.3788E+00,.3480E+00
.3970E+03,.2616E+00,.2842E+00,.2842E+00,.2616E+00
.3975E+03,.5331E+00,.5779E+00,.5779E+00,.5331E+00
.3980E+03,.7481E+00,.8093E+00,.8093E+00,.7481E+00
.3985E+03,.7747E+00,.8363E+00,.8363E+00,.7747E+00
.3990E+03,.8403E+00,.9054E+00,.9054E+00,.8403E+00
.3995E+03,.8391E+00,.9023E+00,.9023E+00,.8391E+00
.4000E+03,.8731E+00,.9369E+00,.9369E+00,.8731E+00
.4010E+03,.8997E+00,.9603E+00,.9603E+00,.8997E+00
.4020E+03,.9525E+00,.1013E+01,.1013E+01,.9525E+00
.4030E+03,.9079E+00,.9620E+00,.9620E+00,.9079E+00
.4040E+03,.8969E+00,.9469E+00,.9469E+00,.8969E+00
.4050E+03,.8997E+00,.9464E+00,.9464E+00,.8997E+00
.4060E+03,.8880E+00,.9308E+00,.9308E+00,.8880E+00
.4070E+03,.8766E+00,.9156E+00,.9156E+00,.8766E+00
.4080E+03,.9138E+00,.9510E+00,.9510E+00,.9138E+00
.4090E+03,.9811E+00,.1018E+01,.1018E+01,.9811E+00
.4100E+03,.8597E+00,.8886E+00,.8886E+00,.8597E+00
.4110E+03,.9340E+00,.9622E+00,.9622E+00,.9340E+00
.4120E+03,.1006E+01,.1033E+01,.1033E+01,.1006E+01
.4130E+03,.9839E+00,.1007E+01,.1007E+01,.9839E+00
.4140E+03,.9991E+00,.1019E+01,.1019E+01,.9991E+00
.4150E+03,.1004E+01,.1021E+01,.1021E+01,.1004E+01
.4160E+03,.1025E+01,.1039E+01,.1039E+01,.1025E+01
.4170E+03,.1003E+01,.1013E+01,.1013E+01,.1003E+01
.4180E+03,.9870E+00,.9944E+00,.9944E+00,.9870E+00
.4190E+03,.1003E+01,.1007E+01,.1007E+01,.1003E+01
.4200E+03,.1001E+01,.1003E+01,.1003E+01,.1001E+01
.4210E+03,.1050E+01,.1049E+01,.1049E+01,.1050E+01
.4220E+03,.1001E+01,.9964E+00,.9964E+00,.1001E+01
.4230E+03,.9805E+00,.9731E+00,.9731E+00,.9805E+00
.4240E+03,.1040E+01,.1029E+01,.1029E+01,.1040E+01
.4250E+03,.1041E+01,.1027E+01,.1027E+01,.1041E+01
.4260E+03,.1016E+01,.9998E+00,.9998E+00,.1016E+01
.4270E+03,.9995E+00,.9808E+00,.9808E+00,.9995E+00
.4280E+03,.9762E+00,.9553E+00,.9553E+00,.9762E+00
.4290E+03,.9266E+00,.9044E+00,.9044E+00,.9266E+00
.4300E+03,.8127E+00,.7912E+00,.7912E+00,.8127E+00
.4310E+03,.8079E+00,.7843E+00,.7843E+00,.8079E+00
.4320E+03,.1045E+01,.1012E+01,.1012E+01,.1045E+01
.4330E+03,.1054E+01,.1018E+01,.1018E+01,.1054E+01
.4340E+03,.9808E+00,.9448E+00,.9448E+00,.9808E+00
.4350E+03,.1027E+01,.9866E+00,.9866E+00,.1027E+01
.4360E+03,.1159E+01,.1111E+01,.1111E+01,.1159E+01
.4370E+03,.1146E+01,.1095E+01,.1095E+01,.1146E+01
.4380E+03,.1045E+01,.9970E+00,.9970E+00,.1045E+01
.4390E+03,.1084E+01,.1031E+01,.1031E+01,.1084E+01
.4400E+03,.1121E+01,.1064E+01,.1064E+01,.1121E+01
.4410E+03,.1164E+01,.1102E+01,.1102E+01,.1164E+01
.4420E+03,.1251E+01,.1181E+01,.1181E+01,.1251E+01
.4430E+03,.1220E+01,.1149E+01,.1149E+01,.1220E+01
.4440E+03,.1250E+01,.1175E+01,.1175E+01,.1250E+01
.4450E+03,.1225E+01,.1149E+01,.1149E+01,.1225E+01
.4460E+03,.1171E+01,.1096E+01,.1096E+01,.1171E+01
.4470E+03,.1269E+01,.1185E+01,.1185E+01,.1269E+01
.4480E+03,.1292E+01,.1204E+01,.1204E+01,.1292E+01
.4490E+03,.1299E+01,.1208E+01,.1208E+01,.1299E+01
.4500E+03,.1338E+01,.1241E+01,.1241E+01,.1338E+01
.4510E+03,.1391E+01,.1287E+01,.1287E+01,.1391E+01
.4520E+03,.1342E+01,.1240E+01,.1240E+01,.1342E+01
.4530E+03,.1265E+01,.1166E+01,.1166E+01,.1265E+01
.4540E+03,.1322E+01,.1216E+01,.1216E+01,.1322E+01
.4550E+03,.1333E+01,.1224E+01,.1224E+01,.1333E+01
.4560E+03,.1367E+01,.1252E+01,.1252E+01,.1367E+01
.4570E+03,.1393E+01,.1273E+01,.1273E+01,.1393E+01
.4580E+03,.1348E+01,.1230E+01,.1230E+01,.1348E+01
.4590E+03,.1344E+01,.1223E+01,.1223E+01,.1344E+01
.4600E+03,.1350E+01,.1226E+01,.1226E+01,.1350E+01
.4610E+03,.1383E+01,.1254E+01,.1254E+01,.1383E+01
.4620E+03,.1396E+01,.1263E+01,.1263E+01,.1396E+01
.4630E+03,.1389E+01,.1254E+01,.1254E+01,.1389E+01
.4640E+03,.1367E+01,.1232E+01,.1232E+01,.1367E+01
.4650E+03,.1352E+01,.1216E+01,.1216E+01,.1352E+01
.4660E+03,.1367E+01,.1227E+01,.1227E+01,.1367E+01
.4670E+03,.1344E+01,.1205E+01,.1205E+01,.1344E+01
.4680E+03,.1362E+01,.1219E+01,.1219E+01,.1362E+01
.4690E+03,.1372E+01,.1225E+01,.1225E+01,.1372E+01
.4700E+03,.1330E+01,.1185E+01,.1185E+01,.1330E+01
.4710E+03,.1331E+01,.1184E+01,.1184E+01,.1331E+01
.4720E+03,.1404E+01,.1247E+01,.1247E+01,.1404E+01
.4730E+03,.1389E+01,.1231E+01,.1231E+01,.1389E+01
.4740E+03,.1394E+01,.1233E+01,.1233E+01,.1394E+01
.4750E+03,.1409E+01,.1244E+01,.1244E+01,.1409E+01
.4760E+03,.1370E+01,.1207E+01,.1207E+01,.1370E+01
.4770E+03,.1377E+01,.1211E+01,.1211E+01,.1377E+01
.4780E+03,.1417E+01,.1244E+01,.1244E+01,.1417E+01
.4790E+03,.1410E+01,.1236E+01,.1236E+01,.1410E+01
.4800E+03,.1414E+01,.1237E+01,.1237E+01,.1414E+01
.4810E+03,.1442E+01,.1260E+01,.1260E+01,.1442E+01
.4820E+03,.1451E+01,.1265E+01,.1265E+01,.1451E+01
.4830E+03,.1435E+01,.1249E+01,.1249E+01,.1435E+01
.4840E+03,.1407E+01,.1223E+01,.1223E+01,.1407E+01
.4850E+03,.1341E+01,.1164E+01,.1164E+01,.1341E+01
.4860E+03,.1174E+01,.1017E+01,.1017E+01,.1174E+01
.4870E+03,.1232E+01,.1066E+01,.1066E+01,.1232E+01
.4880E+03,.1353E+01,.1169E+01,.1169E+01,.1353E+01
.4890E+03,.1359E+01,.1173E+01,.1173E+01,.1359E+01
.4900E+03,.1432E+01,.1233E+01,.1233E+01,.1432E+01
.4910E+03,.1409E+01,.1212E+01,.1212E+01,.1409E+01
.4920E+03,.1332E+01,.1144E+01,.1144E+01,.1332E+01
.4930E+03,.1378E+01,.1181E+01,.1181E+01,.1378E+01
.4940E+03,.1393E+01,.1193E+01,.1193E+01,.1393E+01
.4950E+03,.1407E+01,.1202E+01,.1202E+01,.1407E+01
.4960E+03,.1417E+01,.1209E+01,.1209E+01,.1417E+01
.4970E+03,.1441E+01,.1228E+01,.1228E+01,.1441E+01
.4980E+03,.1375E+01,.1170E+01,.1170E+01,.1375E+01
.4990E+03,.1395E+01,.1185E+01,.1185E+01,.1395E+01
.5000E+03,.1357E+01,.1153E+01,.1153E+01,.1357E+01
.5010E+03,.1334E+01,.1131E+01,.1131E+01,.1334E+01
.5020E+03,.1317E+01,.1115E+01,.1115E+01,.1317E+01
.5030E+03,.1372E+01,.1160E+01,.1160E+01,.1372E+01
.5040E+03,.1333E+01,.1124E+01,.1124E+01,.1333E+01
.5050E+03,.1389E+01,.1171E+01,.1171E+01,.1389E+01
.5060E+03,.1434E+01,.1207E+01,.1207E+01,.1434E+01
.5070E+03,.1366E+01,.1147E+01,.1147E+01,.1366E+01
.5080E+03,.1325E+01,.1112E+01,.1112E+01,.1325E+01
.5090E+03,.1364E+01,.1143E+01,.1143E+01,.1364E+01
.5100E+03,.1358E+01,.1137E+01,.1137E+01,.1358E+01
.5110E+03,.1397E+01,.1168E+01,.1168E+01,.1397E+01
.5120E+03,.1414E+01,.1181E+01,.1181E+01,.1414E+01
