BAND #,CW (nm),FWHM (nm),borne_min,borne_max,coeff
213,2361.44,7.49924,2358.0,2365.0,0.00027159169315697166
214,2369.21,7.47001,2365.0,2373.0,0.00020594385778685277
215,2376.95,7.44055,2373.0,2381.0,0.00022357968201782498
216,2384.66,7.41082,2381.0,2389.0,0.0
217,2392.34,7.38077,2389.0,2396.0,0.00019353796763816892
218,2400.0,7.35037,2396.0,2404.0,0.0
219,2407.62,7.31957,2404.0,2411.0,0.00015242825322390267
220,2415.21,7.28832,2411.0,2419.0,0.0
221,2422.78,7.25659,2419.0,2427.0,0.00013217746195178637
222,2430.32,7.22434,2427.0,2434.0,0.0
223,2437.82,7.19152,2434.0,2442.0,0.0001300520410660192
224,2445.3,7.1581,2442.0,2449.0,0.0
